chromosome	start	annotation	fill_parameters	text_parameters
Bmor_Chr_1	7455935	Cyp305b1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#de1c31"", ""fontdict"": {""size"": 11.0, ""style"": ""normal"", ""weight"": ""heavy""}}"
Bmor_Chr_3	1718987	Cyp366a1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_5	11925723	Cyp4m9	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#1ba784"", ""fontdict"": {""size"": 10.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_5	11939846	Cyp4m5	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#1ba784"", ""fontdict"": {""size"": 10.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_7	7021513	Cyp314a1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_8	9350035	CYP354A1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_8	10713937	Cyp315a1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_9	11618998	Cypa	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_10	10409287	Cyp306a1	"{""alpha"": 0.5, ""color"": ""#c45a65"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_10	10412803	Cyp18a1	"{""alpha"": 0.5, ""color"": ""#c45a65"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_11	1342671	Cyp307a1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_11	17996776	Cyp6ab5	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_12	3833360	CYP338A1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_12	8860210	Cyp6ae9	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_13	4463253	Cyp4l6	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_13	10760868	Cyp4g25	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#de1c31"", ""fontdict"": {""size"": 11.0, ""style"": ""normal"", ""weight"": ""heavy""}}"
Bmor_Chr_14	2964598	CYP49A1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#1ba784"", ""fontdict"": {""size"": 10.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_15	6666752	Cyp332a1	"{""alpha"": 0.5, ""color"": ""#737c7b"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_15	16203157	CYP337A2	"{""alpha"": 0.5, ""color"": ""#c45a65"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
Bmor_Chr_15	16239216	Cyp337a1	"{""alpha"": 0.5, ""color"": ""#c45a65"", ""linestyle"": ""-"", ""linewidth"": 0.1}"	"{""color"": ""#310f1b"", ""fontdict"": {""size"": 8.0, ""style"": ""normal"", ""weight"": ""normal""}}"
